week,joe,elizabeth,bernie,amy,pete
2018-11-25,1,1,2,1,1
2018-12-02,4,1,3,1,1
2018-12-09,2,1,2,1,1
2018-12-16,2,1,2,1,1
2018-12-23,2,1,2,1,1
2018-12-30,3,16,4,1,1
2019-01-06,3,4,3,1,1
2019-01-13,2,3,2,1,1
2019-01-20,3,4,4,1,2
2019-01-27,3,3,5,1,1
2019-02-03,2,7,5,2,1
2019-02-10,3,6,3,9,1
2019-02-17,6,3,31,5,1
2019-02-24,4,2,12,1,1
2019-03-03,4,2,10,1,1
2019-03-10,7,2,8,1,4
2019-03-17,8,3,7,1,7
2019-03-24,6,2,5,1,9
2019-03-31,29,2,6,1,12
2019-04-07,8,2,7,1,11
2019-04-14,5,2,12,1,21
2019-04-21,26,6,11,1,11
2019-04-28,16,3,7,1,6
2019-05-05,10,2,5,1,4
2019-05-12,8,3,4,1,5
2019-05-19,6,2,5,1,9
2019-05-26,7,3,4,1,4
2019-06-02,6,4,4,1,3
2019-06-09,9,4,4,1,4
2019-06-16,9,4,4,1,4
2019-06-23,17,11,13,2,14
2019-06-30,8,4,6,1,5
2019-07-07,5,3,4,1,3
2019-07-14,4,3,5,1,3
2019-07-21,4,3,5,1,3
2019-07-28,12,8,11,2,7
2019-08-04,11,4,8,1,3
2019-08-11,7,5,7,1,2
2019-08-18,6,5,7,1,2
2019-08-25,7,5,6,1,2
2019-09-01,8,4,6,1,3
2019-09-08,13,8,9,2,5
2019-09-15,10,8,6,1,3
2019-09-22,20,8,6,1,2
2019-09-29,14,10,21,1,2
2019-10-06,10,10,10,1,2
2019-10-13,11,11,10,3,6
2019-10-20,6,6,8,1,5
2019-10-27,7,5,7,1,4
2019-11-03,6,8,6,1,5
2019-11-10,6,5,6,1,5
2019-11-17,11,5,7,2,12
2019-11-24,6,4,7,1,6
2019-12-01,15,4,6,1,6
2019-12-08,8,3,6,1,5
2019-12-15,10,7,9,3,7
2019-12-22,6,4,8,2,5
2019-12-29,7,4,10,1,4
2020-01-05,6,5,9,1,4
2020-01-12,8,14,23,3,6
2020-01-19,10,7,19,3,3
2020-01-26,10,6,19,2,4
2020-02-02,17,9,39,7,41
2020-02-09,17,9,43,16,29
2020-02-16,13,16,55,10,21
2020-02-23,18,14,83,7,17
2020-03-01,100,56,98,12,32
2020-03-08,64,12,51,1,3
2020-03-15,36,3,35,1,1
2020-03-22,30,2,13,3,1
2020-03-29,19,1,9,1,1
2020-04-05,35,2,38,1,1
2020-04-12,35,2,10,1,1
2020-04-19,23,4,4,1,1
2020-04-26,38,1,4,1,1
2020-05-03,24,1,4,1,1
2020-05-10,21,1,4,1,1
2020-05-17,29,1,3,2,1
